target,ref,t,match,gold,syn_def,definition,syn_words,syn,pos,id
tissue,weave,1850,True,-1,create a piece of cloth by interlacing strands of fabric such as wool or cotton,Manufacture of textile fabric/weave/weave fabric,"['weave', 'tissue']",Synset('weave.v.02'),vt,01.08.01.15.03.01|01.01
chink,tinkle,1850,True,-1,make or emit a high sound,Hear/Ring/clink/chink,"['tinkle', 'tink', 'clink', 'chink']",Synset('tinkle.v.01'),vi,01.09.09.02.03.03.02|06
chink,tink,1850,True,-1,make or emit a high sound,Hear/Ring/clink/chink,"['tinkle', 'tink', 'clink', 'chink']",Synset('tinkle.v.01'),vi,01.09.09.02.03.03.02|06
chink,clink,1850,True,-1,make or emit a high sound,Hear/Ring/clink/chink,"['tinkle', 'tink', 'clink', 'chink']",Synset('tinkle.v.01'),vi,01.09.09.02.03.03.02|06
course,run,1850,True,-1,move along of liquids,Liquid/Flow,"['run', 'flow', 'feed', 'course']",Synset('run.v.06'),vi,01.10.05.08
course,flow,1850,True,-1,move along of liquids,Liquid/Flow,"['run', 'flow', 'feed', 'course']",Synset('run.v.06'),vi,01.10.05.08
course,feed,1850,True,-1,move along of liquids,Liquid/Flow,"['run', 'flow', 'feed', 'course']",Synset('run.v.06'),vi,01.10.05.08
bray,grind,1850,True,-1,reduce to small pieces or particles by pounding or abrading,Create/make/bring about/Grind/pound,"['grind', 'mash', 'crunch', 'bray', 'comminute']",Synset('grind.v.05'),vt,01.11.02.02.08
bray,mash,1850,True,-1,reduce to small pieces or particles by pounding or abrading,Create/make/bring about/Grind/pound,"['grind', 'mash', 'crunch', 'bray', 'comminute']",Synset('grind.v.05'),vt,01.11.02.02.08
bray,crunch,1850,True,-1,reduce to small pieces or particles by pounding or abrading,Create/make/bring about/Grind/pound,"['grind', 'mash', 'crunch', 'bray', 'comminute']",Synset('grind.v.05'),vt,01.11.02.02.08
bray,comminute,1850,True,-1,reduce to small pieces or particles by pounding or abrading,Create/make/bring about/Grind/pound,"['grind', 'mash', 'crunch', 'bray', 'comminute']",Synset('grind.v.05'),vt,01.11.02.02.08
protract,prolong,1850,True,-1,lengthen in time cause to be or last longer,Extend/Spread/diffuse (something),"['prolong', 'protract', 'extend', 'draw_out']",Synset('prolong.v.01'),vt,01.12.02.01
protract,extend,1850,True,-1,lengthen in time cause to be or last longer,Extend/Spread/diffuse (something),"['prolong', 'protract', 'extend', 'draw_out']",Synset('prolong.v.01'),vt,01.12.02.01
protract,draw_out,1850,True,-1,lengthen in time cause to be or last longer,Extend/Spread/diffuse (something),"['prolong', 'protract', 'extend', 'draw_out']",Synset('prolong.v.01'),vt,01.12.02.01
circumvent,besiege,1850,True,-1,surround so as to force to give up,Cause to have specific position/arrangement/Surround/lie around,"['besiege', 'beleaguer', 'surround', 'hem_in', 'circumvent']",Synset('besiege.v.01'),vt,01.12.05.03.03
circumvent,beleaguer,1850,True,-1,surround so as to force to give up,Cause to have specific position/arrangement/Surround/lie around,"['besiege', 'beleaguer', 'surround', 'hem_in', 'circumvent']",Synset('besiege.v.01'),vt,01.12.05.03.03
circumvent,surround,1850,True,-1,surround so as to force to give up,Cause to have specific position/arrangement/Surround/lie around,"['besiege', 'beleaguer', 'surround', 'hem_in', 'circumvent']",Synset('besiege.v.01'),vt,01.12.05.03.03
circumvent,hem_in,1850,True,-1,surround so as to force to give up,Cause to have specific position/arrangement/Surround/lie around,"['besiege', 'beleaguer', 'surround', 'hem_in', 'circumvent']",Synset('besiege.v.01'),vt,01.12.05.03.03
chamfer,bevel,1850,True,-1,cut a bevel on shape to a bevel,Cause to have specific position/arrangement/Incline/bevel,"['bevel', 'chamfer']",Synset('bevel.v.01'),vt,01.12.05.17|04
squat,crouch,1850,True,-1,sit on ones heels,Cause to have specific position/arrangement/Crouch/squat/cause to,"['squat', 'crouch', 'scrunch', 'scrunch_up', 'hunker', 'hunker_down']",Synset('squat.v.01'),vt,01.12.05.26.06|01
squat,scrunch,1850,True,-1,sit on ones heels,Cause to have specific position/arrangement/Crouch/squat/cause to,"['squat', 'crouch', 'scrunch', 'scrunch_up', 'hunker', 'hunker_down']",Synset('squat.v.01'),vt,01.12.05.26.06|01
squat,scrunch_up,1850,True,-1,sit on ones heels,Cause to have specific position/arrangement/Crouch/squat/cause to,"['squat', 'crouch', 'scrunch', 'scrunch_up', 'hunker', 'hunker_down']",Synset('squat.v.01'),vt,01.12.05.26.06|01
