,target,synset,pos,t,prov,comments,explanation,synset_def,synset_size,synset_words,wn_pos,gold_Astrid,gold_Jacco,gold,counts_0,counts_1
1,aeroplane,airplane.n.01,n,1905,WSE,new sense,introduction of airoplane,an aircraft that has a fixed wing and is powered by propellers or jets,3,"['airplane', 'aeroplane', 'plane']",n,0,0,0,1,0
2,aeroplane,airplane.n.01,n,1919,WSE,broadened sense,type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia,an aircraft that has a fixed wing and is powered by propellers or jets,3,"['airplane', 'aeroplane', 'plane']",n,0,0,0,1,0
3,aeroplane,airplane.n.01,n,1914,WSE,broadened sense,used as a weapon first time,an aircraft that has a fixed wing and is powered by propellers or jets,3,"['airplane', 'aeroplane', 'plane']",n,0,0,0,1,0
4,automobile,car.n.01,n,1886,WSE,new sense,introduction of the modern automobile,a motor vehicle with four wheels usually propelled by an internal combustion engine,5,"['car', 'auto', 'automobile', 'machine', 'motorcar']",n,0,0,0,1,0
5,bitch,bitch.n.01,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",an unpleasant difficulty,1,['bitch'],n,0,0,0,1,0
6,bitch,bitch.n.04,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",female of any member of the dog family,1,['bitch'],n,0,0,0,1,0
7,bitch,cunt.n.01,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",a person usually but not necessarily a woman who is thoroughly disliked,2,"['cunt', 'bitch']",n,1,1,1,0,1
8,bitch,gripe.n.01,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",informal terms for objecting,5,"['gripe', 'kick', 'beef', 'bitch', 'squawk']",n,0,0,0,1,0
9,camera,camera.n.01,n,1826,WSE,new related sense,The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce,equipment for taking photographs usually consisting of a lightproof box with a lens at one end and lightsensitive film at the other,2,"['camera', 'photographic_camera']",n,0,1,1,0,1
10,camera,camera.n.01,n,1975,WSE,broadened sense,digital camera,equipment for taking photographs usually consisting of a lightproof box with a lens at one end and lightsensitive film at the other,2,"['camera', 'photographic_camera']",n,0,0,0,1,0
11,camera,television_camera.n.01,n,1975,WSE,broadened sense,digital camera,television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam,3,"['television_camera', 'tv_camera', 'camera']",n,0,0,0,1,0
12,camera,television_camera.n.01,n,1826,WSE,new related sense,The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce,television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam,3,"['television_camera', 'tv_camera', 'camera']",n,0,0,0,1,0
13,car,cable_car.n.01,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",a conveyance for passengers or freight on a cable railway,2,"['cable_car', 'car']",n,0,0,0,1,0
14,car,car.n.01,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",a motor vehicle with four wheels usually propelled by an internal combustion engine,5,"['car', 'auto', 'automobile', 'machine', 'motorcar']",n,1,1,1,0,1
15,car,car.n.02,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",a wheeled vehicle adapted to the rails of railroad,4,"['car', 'railcar', 'railway_car', 'railroad_car']",n,0,0,0,1,0
16,car,car.n.03,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,2,"['car', 'gondola']",n,0,0,0,1,0
17,car,car.n.04,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",where passengers ride up and down,2,"['car', 'elevator_car']",n,0,0,0,1,0
18,cinema,cinema.n.02,n,1900,WSE,new sense,,a theater where films are shown,5,"['cinema', 'movie_theater', 'movie_theatre', 'movie_house', 'picture_palace']",n,0,0,0,1,0
19,cinema,film.n.02,n,1900,WSE,new sense,,a medium that disseminates moving pictures,3,"['film', 'cinema', 'celluloid']",n,0,0,0,1,0
20,computer,calculator.n.01,n,1990,WSE,broadened sense,personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html,an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
21,computer,calculator.n.01,n,1960,WSE,broadened sense,"computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event",an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
22,computer,calculator.n.01,n,1970,WSE,broadened sense,computers used for word processing: http://www.bbc.com/news/magazine-23509153,an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
23,computer,calculator.n.01,n,1940,WSE,new sense,"The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s.",an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
24,computer,computer.n.01,n,1990,WSE,broadened sense,personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html,a machine for performing calculations automatically,6,"['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']",n,0,0,0,1,0
