"","target","synset","pos","t","gold","X","ref","synset_def","synset_size","synset_words","wn_pos","prov","comments","explanation"
"1","aeroplane","airplane.n.01","n",1905,0,22,"plane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","new sense","introduction of airoplane"
"2","aeroplane","airplane.n.01","n",1905,0,19,"airplane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","new sense","introduction of airoplane"
"3","aeroplane","airplane.n.01","n",1914,0,20,"plane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","used as a weapon first time"
"4","aeroplane","airplane.n.01","n",1914,0,17,"airplane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","used as a weapon first time"
"5","aeroplane","airplane.n.01","n",1919,0,21,"plane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia"
"6","aeroplane","airplane.n.01","n",1919,0,18,"airplane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia"
"7","automobile","car.n.01","n",1886,0,23,"car","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"8","automobile","car.n.01","n",1886,0,24,"auto","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"9","automobile","car.n.01","n",1886,0,26,"motorcar","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"10","automobile","car.n.01","n",1886,0,25,"machine","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"11","bitch","cunt.n.01","n",1970,1,27,"cunt","a person /usually but not necessarily a woman/ who is thoroughly disliked",2,"cunt/bitch","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"12","bitch","gripe.n.01","n",1970,0,28,"gripe","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"13","bitch","gripe.n.01","n",1970,0,29,"kick","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"14","bitch","gripe.n.01","n",1970,0,31,"squawk","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
