"","ref","target","t","match","gold","syn_def","definition","syn_words","syn","pos","id","freq.x","freq.y","synset","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"1","A-one","top-notch","1900","True","1","of the highest quality","Good/Excellent/very excellent/first-rate","['ace', 'A-one', 'crack', 'first-rate', 'super', 'tiptop', 'topnotch', 'top-notch', 'tops']","Synset('ace.s.01')","adj","02.03.01.06|12",NA,NA,"ace.s.01","1","1","1","1",NA,NA,NA,NA
"2","abduct","snatch","1932","True","1","take away to an undisclosed location against their will and usually in order to extract a ransom","Take/Kidnap/abduct","['kidnap', 'nobble', 'abduct', 'snatch']","Synset('kidnap.v.01')","vt","02.06.13.05.08","11169.5","621","kidnap.v.01","8","1","4","2",NA,NA,NA,NA
"3","abide","bear","1916","True","-1","put up with something or somebody unpleasant","Have specific position/arrangement/Support/bear weight (of ice)","['digest', 'endure', 'stick_out', 'stomach', 'bear', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up']","Synset('digest.v.03')","vi","01.12.05.09|02","907347.5","68238.5","digest.v.03","5","2","7","2","0","0","0.0670857868923456","0.633333333333333"
"4","abide","stomach","1854","True","-1","put up with something or somebody unpleasant","Invest with body/Digest","['digest', 'endure', 'stick_out', 'stomach', 'bear', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up']","Synset('digest.v.03')","vt","01.02.03.18.01","311576","68238.5","digest.v.03","6","2","3","2","1","1","0.0155928314211756","-0.610714285714286"
"5","ably","capably","1884","True","-1","with competence in a competent capable manner","Ably","['competently', 'aptly', 'ably', 'capably']","Synset('competently.r.01')","adv","01.15.22","74","2468","competently.r.01","1","1","1","1",NA,NA,NA,NA
"6","about","some","1874","True","-1","of quantities imprecise but fairly close to correct","Particular time/at a particular/certain time/approximately","['approximately', 'about', 'close_to', 'just_about', 'some', 'roughly', 'more_or_less', 'around', 'or_so']","Synset('approximately.r.01')","adv","01.13.03|01.02","20355759.5","28240428.5","approximately.r.01","5","2","1","4","0","0","0.0576344334704661","0.538461538461538"
"7","abstinent","abstentious","1878","True","-1","selfrestraining not indulging an appetite especially for food or drink","Perceptible by the senses/Moderate in sensuous gratification/abstinent","['abstinent', 'abstentious']","Synset('abstinent.s.01')","adj","01.09.01.05|01",NA,"731.5","abstinent.s.01","1","2","1","1",NA,NA,NA,NA
"8","abstract","cabbage","1862","True","-1","make off with belongings of others","Take/Pilfer","['pilfer', 'cabbage', 'purloin', 'pinch', 'abstract', 'snarf', 'swipe', 'hook', 'sneak', 'filch', 'nobble', 'lift']","Synset('pilfer.v.01')","vt","02.06.13.05.01","24258.5","306156.5","pilfer.v.01","4","4","2","2","1","0","0.680607020062893","-0.120879120879121"
"9","absurd","derisory","1922","True","1","incongruous inviting ridicule","Low (of esteem)/Derided/ridiculed/mocked/ridiculous","['absurd', 'cockeyed', 'derisory', 'idiotic', 'laughable', 'ludicrous', 'nonsensical', 'preposterous', 'ridiculous']","Synset('absurd.s.02')","adj","02.02.10.02.01|01","43.5","85720","absurd.s.02","1","3","1","1",NA,NA,NA,NA
"10","accept","take","1938","True","1","receive willingly something given or offered","Cause to prosper/flourish/Have/gain mastery/superiority over/overcome/defeat","['accept', 'take', 'have']","Synset('accept.v.02')","vt","01.15.16.02.01|05","10766528","1234229.5","accept.v.02","13","2","22","11","0","0","0.383316870426973","-0.392857142857143"
